,M
2028,-672
2029,108
2030,123
2031,201
2032,337
2033,-432
2034,-854
2035,400
2036,-53
2037,460
2038,-145
2039,-132
2040,-142
2041,-195
2042,-131
2043,-676
2044,961
2045,-954
2046,299
2047,-181
2048,-597
2049,-376
2050,404
2051,-712
2052,1084
2053,-505
2054,-182
2055,8
2056,-24
2057,-943
2058,925
2059,-581
2060,91
2061,212
2062,-307
2063,89
2064,-249
2065,510
2066,-613
2067,845
2068,-882
2069,44
2070,67
2071,-375
2072,-88
2073,441
2074,-92
2075,-34
2076,-97
2077,-291
2078,-336
2079,197
2080,174
2081,19
2082,405
2083,-475
2084,-111
2085,-1137
2086,98
2087,394
2088,305
2089,13
2090,412
2091,-1740
2092,810
2093,332
2094,-477
2095,30
2096,-79
2097,161
2098,-616
2099,-471
2100,82
2101,432
2102,-535
2103,109
2104,-371
2105,540
2106,-1245
2107,776
2108,-452
2109,869
2110,-345
2111,169
2112,-577
2113,324
2114,-498
2115,-195
2116,-565
2117,553
2118,475
2119,-464
2120,-296
2121,-492
2122,87
2123,-317
2124,528
2125,191
2126,473
2127,-629
2128,-336
2129,-647
2130,957
2131,-553
2132,-694
2133,-64
2134,130
2135,-714
2136,86
2137,-526
2138,1043
2139,-283
2140,397
2141,-785
2142,239
2143,-163
2144,385
2145,-206
2146,-166
2147,-341
2148,584
2149,-929
2150,625
2151,-390
2152,448
2153,445
2154,-512
2155,311
2156,-129
2157,-188
2158,-506
2159,-85
2160,-88
2161,-193
2162,304
2163,-1335
2164,-262
2165,543
2166,-331
2167,450
2168,-334
2169,427
2170,-584
2171,222
2172,-18
2173,745
2174,-133
2175,49
2176,287
2177,-277
2178,-169
2179,607
2180,377
2181,-659
2182,308
2183,421
2184,-736
2185,209
2186,-361
2187,120
2188,194
2189,-304
2190,138
2191,-988
2192,598
2193,-623
2194,371
2195,-84
2196,-267
2197,399
2198,-1526
2199,219
2200,-48
2201,-319
2202,1684
2203,-1812
2204,427
2205,-1050
2206,135
2207,380
2208,-634
2209,-69
2210,-176
2211,158
2212,-139
2213,-1156
2214,1038
2215,-1022
2216,656
2217,-600
2218,238
2219,361
2220,323
2221,-784
2222,381
2223,119
2224,-447
2225,421
2226,-273
2227,272
2228,648
2229,-717
2230,350
2231,-668
2232,396
2233,414
2234,-339
2235,-1147
2236,330
2237,-504
2238,285
2239,44
2240,-58
2241,-674
2242,727
2243,-793
2244,629
2245,-127
2246,-203
2247,-131
2248,-48
2249,-353
2250,591
2251,-1089
2252,707
2253,-18
2254,-162
2255,-356
2256,576
2257,-1641
2258,705
2259,-325
2260,-274
2261,-107
2262,428
2263,-940
2264,830
2265,-702
2266,247
2267,-240
2268,534
2269,-478
2270,194
2271,-11
2272,-676
2273,-276
2274,713
2275,-965
2276,295
2277,-162
2278,131
2279,-1325
2280,874
2281,-415
2282,821
2283,-924
2284,420
2285,-100
2286,-428
2287,-526
2288,941
2289,-43
2290,-7
2291,-549
2292,714
2293,-918
2294,555
2295,298
2296,-118
2297,-645
2298,125
2299,604
2300,-906
2301,-100
2302,477
2303,-231
2304,44
2305,-1157
2306,60
2307,-586
2308,336
2309,406
2310,-802
2311,1259
2312,-1553
2313,767
2314,-604
2315,712
2316,86
2317,-301
2318,-587
2319,-890
2320,458
2321,672
2322,-1605
2323,425
2324,-135
2325,557
2326,-514
2327,44
2328,-186
2329,467
2330,890
2331,-597
2332,716
2333,-361
2334,113
2335,-374
2336,281
2337,-901
2338,1062
2339,-734
2340,170
2341,-280
2342,-69
2343,13
2344,-11
2345,58
2346,682
2347,-193
2348,201
2349,-1009
2350,892
2351,-567
2352,642
2353,431
2354,-1164
2355,288
2356,-365
2357,-226
2358,-427
2359,-645
2360,705
2361,-44
2362,158
2363,-173
2364,-642
2365,233
2366,-430
2367,818
2368,-862
2369,-346
2370,1071
2371,-1656
2372,489
2373,45
2374,159
2375,-634
2376,698
2377,-1376
2378,883
2379,-992
2380,1444
2381,-1168
2382,607
2383,-441
2384,197
2385,-242
2386,-407
2387,-54
2388,725
2389,-930
2390,382
2391,-1688
2392,809
2393,156
2394,-88
2395,540
2396,-88
2397,-408
2398,-616
2399,902
2400,94
2401,-483
2402,488
2403,-1076
2404,205
2405,375
2406,-573
2407,1120
2408,-584
2409,-24
2410,148
2411,-236
2412,-118
2413,-374
2414,-481
2415,-172
2416,254
2417,-329
2418,355
2419,-290
2420,216
2421,150
2422,-211
2423,28
2424,88
2425,342
2426,-1027
2427,255
2428,-725
2429,283
2430,-260
2431,18
2432,456
2433,-450
2434,-550
2435,257
2436,-247
2437,376
2438,4
2439,-261
2440,29
2441,-383
2442,898
2443,-744
2444,-193
2445,-481
2446,418
2447,-362
2448,-297
2449,-172
2450,-203
2451,416
2452,-135
2453,-277
2454,43
2455,-510
2456,807
2457,198
2458,13
2459,-200
2460,-251
2461,342
2462,-221
2463,-361
2464,-156
2465,703
2466,-851
2467,607
2468,154
2469,-44
2470,-151
2471,118
2472,-415
2473,-150
2474,-361
2475,311
2476,-302
2477,132
2478,159
2479,-473
2480,448
2481,-580
2482,343
2483,-528
2484,166
2485,-973
2486,553
2487,-163
2488,301
2489,-654
2490,733
2491,-520
2492,-111
2493,-162
2494,31
2495,-106
2496,481
2497,-458
2498,-498
2499,-294
2500,119
2501,-514
2502,312
2503,-292
2504,152
2505,200
2506,-186
2507,-377
2508,435
2509,-35
2510,45
2511,-137
2512,35
2513,-532
2514,156
2515,-338
2516,370
2517,-328
2518,755
2519,-164
2520,23
2521,-417
2522,426
2523,-551
2524,141
2525,-541
2526,103
2527,-391
2528,887
2529,-1347
2530,1832
2531,-1206
2532,669
2533,-614
2534,860
2535,-773
2536,127
2537,523
2538,23
2539,-732
2540,326
2541,-672
2542,90
2543,-204
2544,-24
2545,529
2546,-979
2547,624
2548,-373
2549,283
2550,-684
2551,992
2552,-1177
2553,-409
2554,671
2555,-1303
2556,1030
2557,-762
2558,590
2559,-16
2560,319
2561,-170
2562,-300
2563,582
2564,-228
2565,-301
2566,-157
2567,136
2568,-1068
2569,825
2570,63
2571,-361
2572,23
2573,75
2574,-233
2575,130
2576,-247
2577,433
2578,-908
2579,508
2580,-519
2581,-244
2582,425
2583,-948
2584,639
2585,-493
2586,-124
2587,10
2588,76
2589,145
2590,-256
2591,23
2592,-190
2593,56
2594,549
2595,-491
2596,319
2597,39
2598,-58
2599,-153
2600,-368
2601,451
2602,-335
2603,290
2604,-198
2605,83
2606,-402
2607,-508
2608,585
2609,70
2610,-398
2611,-60
2612,-4
2613,641
